participant_id,environment,p_type,mean,median,q5,q25,q75,q95,sd
42301,outdoor,pm1num,-6.037338728115324,-15.455893254262424,-198.8326848249027,-22.6514967145291,2.618107062237987,8.54428745169304,18.296811537130704
42301,outdoor,pm25,39.19352369868885,38.61833406787132,66.9927536231884,36.57679991736391,43.433100503058164,32.830723598953924,35.751187994028264
42301,ratio,pm1,-772.8859536313589,-1.9326609013030096,31.08513396114889,12.523617849324362,-63.34985301104116,-1354.0073523674655,-1005.0809868016165
42301,ratio,pm10,-20.15132464603422,69.92494938435128,95.70701701796973,79.5064780638017,68.40068503049629,10.70964192760989,-176.17346576389545
42301,ratio,pm1num,16.782961874449075,77.67700335233282,68.19308769340277,74.06064378604138,74.72105004885559,-23.072500694659855,-8.626407273383466
42301,ratio,pm25,-191.63261070407364,37.65783595048539,72.60303977804284,42.011043707242905,30.604426730802924,-482.7982631188187,-305.48351820211633
42321,indoor,pm1,45.54017941426447,92.68024215740232,93.46938775510203,91.1455108359133,92.0719757705327,24.037227214377435,-405.927680239268
42321,indoor,pm10,13.06617619039461,88.22402044293015,93.3977455716586,89.82198142414862,66.12623045744066,-11.645443457962292,-157.85399902955575
42321,indoor,pm1num,62.96301565921944,92.79003065967758,87.90369935408104,89.1825307950728,92.50664057039005,49.17714934266535,-187.46080940435132
42321,indoor,pm25,35.41823203162169,91.13699670802734,92.7159209157128,89.44033790918691,89.8723547195163,12.240819385460998,-511.69419590349
42321,outdoor,pm1,-257.1939744169292,-277.10526315789474,-130.95022624434395,-195.5128205128205,-353.2630725577624,-208.8639551192147,-202.79529186619007
42321,outdoor,pm10,-54.39216416502529,-156.70380330388016,-68.38365896980463,-126.37453493179,-68.68089082697398,-12.474151768284178,-15.57006777691482
42321,outdoor,pm1num,-155.97445098743958,-193.37697343088186,-158.13594232749742,-214.83113069016153,-233.208430913349,-68.87020821171433,-84.92231136523576
42321,outdoor,pm25,-171.83048960645593,-228.99082568807336,-107.48209074024938,-155.7377049180328,-212.8256513026052,-113.93131495707185,-126.70864353824841
42321,ratio,pm1,90.63914566927743,97.56771280234933,97.49424658452047,97.28670855586037,97.52215240037383,91.19696103266699,64.44360057728923
42321,ratio,pm10,62.85370276789917,93.39642049223396,91.35505077126776,93.24756169932935,88.71088873328691,63.864546787659876,0.9652422072368039
42321,ratio,pm1num,87.92394116680694,97.3595595523542,94.37083207145778,95.890007685199,97.45123061312216,88.0898715765178,24.009631800664796
42321,ratio,pm25,84.14831134319428,96.34703254979654,95.40097413114756,96.04843874212743,96.49000209097609,84.47180301900818,34.73576904048794
44241,indoor,pm1,56.46257765027692,50.29585798816568,84.76190476190477,54.117647058823536,59.53648606326339,55.07129125874917,57.305749626362434
44241,indoor,pm10,-41.08040896190515,63.861266068396795,68.79206951413536,60.20408163265306,54.95856479373463,31.734568430683005,-500.8569901104646
44241,indoor,pm1num,11.804470500870789,28.235294117647054,46.50924643093791,33.304548071387444,29.93819530284302,-13.466897040758235,4.832112445815171
44241,indoor,pm25,34.66294384172095,64.09867172675521,76.90058479532163,57.89473684210526,63.45746931866271,46.39953285498165,-31.79149226183154
44241,outdoor,pm1,-198.19294122143535,-220.25440313111548,-156.64739884393066,-182.48772504091653,-268.17768344451184,-201.28266819043031,-9.568654425745855
44241,outdoor,pm10,38.61782462265779,23.099507182552177,-44.605809128630696,-4.644295302013424,41.69020660674682,17.000253151033668,88.67031768249373
44241,outdoor,pm1num,-215.728661206888,-278.36505778382053,-150.48913043478265,-221.68173168411033,-240.8177974245627,-182.9872675626866,-96.3392820651879
44241,outdoor,pm25,-95.53294411430232,-77.83641160949865,-128.46910112359552,-117.58747697974215,-97.15036657905658,-119.50368638734025,-0.749992872939775
44241,ratio,pm1,86.27236982249792,85.91965752449858,91.69255528779522,86.63729809104258,87.66802919240801,89.08990931881823,83.6771915805462
44241,ratio,pm10,13.919032339494494,56.80807256622825,52.881023773428296,47.91831239528012,51.40089239730108,36.7224318766596,-41.99867928707215
44241,ratio,pm1num,62.862938073439494,80.84798039734405,82.28521001145609,77.15108253632795,79.20238617902211,69.84235952350909,11.607482883632828
44241,ratio,pm25,69.03619476837468,81.22878080077464,84.47591019914181,81.77192286252726,83.1081824221227,79.31217437932314,34.3235074764337
44621,indoor,pm1,-9.753569236091982,41.380702462656444,18.211920529801322,35.783633841886264,57.04751469269847,49.57478075373321,-666.5997606862842
44621,indoor,pm10,-7.849429923937762,60.33469823749332,34.21161825726141,49.06514465656367,57.24157120994297,1.4500455791876776,-434.8272097881981
44621,indoor,pm1num,21.064333917940107,42.29390681003584,-19.969278033794144,26.08991825613079,55.11551155115512,58.24920211033676,-183.6446651103012
44621,indoor,pm25,-11.958139650826935,43.20486815415822,22.757140941397353,38.7299771167048,57.132793237055296,50.616778769511484,-752.9001406918514
44621,outdoor,pm1,50.07677616377049,33.34886972733629,53.13609467455621,41.995841995842,48.037542662116046,54.19495884773668,70.55981212319496
44621,outdoor,pm10,55.102695182920726,70.44450455324137,71.16395244280149,69.95821080328123,64.4463621163907,40.86281103374948,9.997438526411253
44621,outdoor,pm1num,-117.2812232474772,-210.12090890139666,-169.45388349514565,-182.4617010036979,-138.3965156594745,-36.991952825378476,-8.379519662551022
44621,outdoor,pm25,40.997377660866604,29.348617176128098,49.2467043314501,36.43243243243244,43.218105720043404,36.966020846828826,59.96988449343969
44621,ratio,pm1,-99.66073980399155,6.764319875377362,23.691081622884543,15.296475180071333,-24.856529773369843,-113.43839495353456,-1822.4038866271937
44621,ratio,pm10,-184.318711224351,-31.877939402263177,-14.239818768438228,-29.61670845275162,-66.67424817270212,-236.45754949097497,-958.2417448713171
44621,ratio,pm1num,53.63472397714141,80.72024079717664,70.6693849023223,78.45601474898423,78.94539043394659,55.59060657798694,-375.94770672372516
44621,ratio,pm25,-73.9237950470806,20.47586605657646,37.51224846230685,25.781289885633164,-6.490857176372951,-93.02034978869477,-1764.787725727973
45361,indoor,pm1,31.05670954744811,49.382716049382715,94.44444444444444,64.60674157303372,32.56385068762278,5.603351955307327,-1.031856741318243
45361,indoor,pm10,28.127185143155096,44.22123662927211,75.96059113300493,62.38532110091744,26.34496736311884,15.632205474597134,44.60754605104255
45361,indoor,pm1num,39.8404062994031,64.37054631828978,35.86206896551724,65.09218612818262,43.99196352677537,6.576245643778878,1.2380596673818325
45361,indoor,pm25,39.33301281828631,45.10869565217392,73.59550561797754,58.33333333333333,31.328715365239297,18.255941499085953,50.926340278560886
45361,outdoor,pm1,45.460659137737956,43.72638695565718,72.84644194756554,57.99055967633176,33.29705462213454,49.11969189216224,45.9091373114966
45361,outdoor,pm10,-98.33493334853662,-0.3123915307184969,-52.121970645124584,9.993753903810115,-102.46305418719211,-173.23880062236486,-196.9433735552904
45361,outdoor,pm1num,78.55025457289035,81.85972741202721,87.6145573239967,81.54767888377329,77.54086119638265,73.07209333392709,67.76942931703024
45361,outdoor,pm25,15.803550585751504,18.41341502741052,9.056868710507862,29.43608590789021,12.893789378937893,7.369171341855939,14.314162394563446
45361,ratio,pm1,-49.98984921273312,13.054927716172623,77.52833731240112,35.64727954971858,-14.105061476167103,-105.4204604207555,-228.32709938515973
45361,ratio,pm10,63.61431821443854,50.08600006445786,87.64797269561713,60.325081992632626,57.1899626070472,59.61559969656016,69.86066050843058
45361,ratio,pm1num,-269.4295818954363,-107.54098154748226,-107.92818206645991,-81.37176707362768,-170.07540473465318,-551.8406332855997,-676.8963601504829
45361,ratio,pm25,24.945470206092562,37.522281416199554,70.4097144702041,54.708226048918164,16.478628273029415,6.7972939079842805,28.11408796486975
45411,indoor,pm1,75.44794427440526,83.98268398268398,60.22727272727272,79.53216374269006,79.57522574081139,68.91619788323831,62.38563915411853
45411,indoor,pm10,-49.9575185979817,11.552553240210674,80.71996764190374,75.33302710151584,-65.1012891344383,-99.27797528356191,-82.4706065140369
45411,indoor,pm1num,86.49933498222893,90.57073170731708,78.694158075601365,84.54913219365783,88.62970939095507,85.84940525723235,80.0811889470538
45411,indoor,pm25,69.46362943781794,79.39932318104907,69.50549450549451,75.07958162801272,72.28483606557377,61.25989739839812,56.62701680965576
45411,outdoor,pm1,38.79801143524193,23.485444531864665,-15.69982323638117,13.918778202013197,43.12251392203659,49.50918630984658,49.28106364111095
45411,outdoor,pm10,16.950764056511414,43.79833649496571,30.332409972299168,40.39907460960093,18.45107601449599,-5.280148728844682,-13.290036154011807
45411,outdoor,pm1num,21.685917388967837,6.793551882958548,59.276914051041366,36.77213233020715,20.172804804037447,28.626379494995827,15.360979595093177
45411,outdoor,pm25,32.725450234232405,34.78857770455793,21.073793755912963,30.12971698113207,36.58041603247083,26.255873905537477,29.351319383875015
